MODEL,SCENARIO,REGION,VARIABLE,UNIT,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA-WiC POP,SSP3_v9_130115,BHS,Population,million,,,,,,,,,,,,,0.342877,0.365418324,0.387208625,0.406744418,0.424909128,0.440752093,0.454490126,0.467135159,0.47967701,0.492255908,0.504315418,0.515191924,0.525014344,0.53452391,0.54426193,0.554800214,0.566107375,0.577539856,0.588438419,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GUF,Population,million,,,,,,,,,,,,,0.23115099,0.259190787,0.287811708,0.316595228,0.345548607,0.373275304,0.39993522,0.426129455,0.452610522,0.479333156,0.505934133,0.531964357,0.55743704,0.582622047,0.607610404,0.632166423,0.655987475,0.678991985,0.701346817,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GRD,Population,million,,,,,,,,,,,,,0.104487,0.106901579,0.110706565,0.115548309,0.120230269,0.12452948,0.12869573,0.132888765,0.137102973,0.141095749,0.14474681,0.148002344,0.15102135,0.154037776,0.157258346,0.160794733,0.164674297,0.168902051,0.173467739,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,BIH,Population,million,,,,,,,,,,,,,3.760149,3.749150983,3.730473757,3.699851834,3.655898205,3.592230684,3.514377499,3.430399746,3.346355018,3.262607821,3.179826312,3.096421747,3.016459384,2.945814434,2.888422297,2.844924277,2.813227821,2.789963945,2.772258156,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,MYT,Population,million,,,,,,,,,,,,,0.204114,0.234653595,0.266832467,0.302557921,0.342965302,0.385319007,0.42813018,0.471003143,0.513926819,0.556573649,0.59922152,0.641739858,0.683753798,0.725084059,0.765848333,0.806147394,0.84582549,0.884555196,0.922161518,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,FSM,Population,million,,,,,,,,,,,,,0.111064,0.114394658,0.120429514,0.128096847,0.135734904,0.142388178,0.148018887,0.153088128,0.158369424,0.163839102,0.169185579,0.174252059,0.178613234,0.182596472,0.186621053,0.191118231,0.196202808,0.201543008,0.206911157,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,BLR,Population,million,,,,,,,,,,,,,9.595421,9.447559603,9.315465117,9.175690804,9.021543571,8.857566136,8.709806201,8.58146541,8.463674662,8.348951103,8.242816044,8.14975485,8.084467946,8.052161609,8.048979801,8.067739379,8.103825326,8.151895541,8.20792624,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,BLZ,Population,million,,,,,,,,,,,,,0.311627,0.342294696,0.374870645,0.408237336,0.440998789,0.472207965,0.50244856,0.532564526,0.562643478,0.591913668,0.620171416,0.647624813,0.674840068,0.702395998,0.730275355,0.758624605,0.787560452,0.817797545,0.849568539,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,BOL,Population,million,,,,,,,,,,,,,9.929849,10.7872015,11.78400837,12.8726391,13.99832147,15.10613604,16.21102124,17.31312927,18.43381133,19.52836222,20.56890522,21.59737476,22.60842317,23.5952929,24.58996276,25.58141375,26.59536085,27.61001954,28.64016375,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,VIR,Population,million,,,,,,,,,,,,,0.109056,0.111755674,0.114797413,0.117968954,0.120706188,0.122441693,0.123465361,0.124343177,0.125628751,0.127479007,0.129716427,0.131989758,0.134090721,0.136056804,0.138050762,0.140225545,0.142652243,0.145300728,0.148122437,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,BRA,Population,million,,,,,,,,,,,,,194.94647,203.9935221,213.251581,222.2201948,230.452257,237.513523,243.6544803,249.0612859,253.6544696,257.2485674,259.9580723,262.025965,263.7308209,265.2427123,266.8056648,268.5837639,270.6921115,273.2590636,276.2857424,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,BRB,Population,million,,,,,,,,,,,,,0.273331,0.276122255,0.279159686,0.281672386,0.283038009,0.282440095,0.279917711,0.276013588,0.271508505,0.266963704,0.262806446,0.258990349,0.255513172,0.252427542,0.249915315,0.248277314,0.247678461,0.24813527,0.249440771,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,BRN,Population,million,,,,,,,,,,,,,0.39892,0.431431458,0.462037031,0.4903319,0.517499932,0.543238225,0.567707526,0.590680989,0.612376346,0.632618022,0.651755542,0.669151763,0.685020726,0.699953326,0.714667225,0.729555963,0.744684861,0.759873533,0.774877753,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,BTN,Population,million,,,,,,,,,,,,,0.72594,0.796633237,0.869892904,0.94076731,1.01095713,1.078408368,1.146149576,1.215387544,1.285110803,1.352046651,1.415009757,1.472988966,1.527927173,1.581086,1.632873656,1.683622426,1.733648445,1.78283693,1.830288714,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,BWA,Population,million,,,,,,,,,,,,,2.006945,2.109020984,2.185740097,2.247847253,2.301504993,2.345990488,2.387058634,2.426723977,2.466478073,2.49752151,2.532414685,2.565595204,2.588777899,2.615507788,2.649109731,2.685815414,2.725531791,2.768019358,2.808543791,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CAF,Population,million,,,,,,,,,,,,,4.401051,4.841691449,5.328631447,5.824854133,6.318506847,6.785282644,7.23185093,7.662851017,8.073897043,8.447912912,8.780212089,9.07559767,9.33904608,9.574729067,9.77532874,9.958632004,10.11031633,10.2338578,10.33345067,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CAN,Population,million,,,,,,,,,,,,,34.016593,35.50233309,36.66872462,37.40169037,37.8117644,37.98011076,37.96330119,37.78705499,37.45599789,37.00102497,36.44486174,35.75739546,34.94522052,34.00547594,32.94057402,31.76687141,30.51073684,29.20330952,27.84576178,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CHE,Population,million,,,,,,,,,,,,,7.664318,7.841952665,7.94447338,7.994346611,7.997862696,7.961330518,7.884974932,7.772406891,7.622815289,7.440067647,7.230731619,6.999546165,6.759854712,6.515545098,6.266438105,6.010211553,5.749952236,5.487429729,5.223288716,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CHL,Population,million,,,,,,,,,,,,,17.113688,17.92650238,18.74294308,19.51059344,20.19944834,20.76474507,21.23133052,21.62705774,21.97061216,22.26141829,22.51385883,22.73610423,22.94122024,23.1384973,23.33365946,23.53911662,23.76812748,24.03147486,24.32961683,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CHN,Population,million,,,,,,,,,,,,,1341.335152,1365.614536,1385.689297,1397.226179,1398.878559,1388.842511,1368.545423,1340.647345,1307.464875,1270.216423,1231.333883,1193.297111,1157.454284,1123.98191,1094.030408,1069.145478,1050.266146,1036.903267,1027.983837,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CIV,Population,million,,,,,,,,,,,,,19.7378,21.78951829,24.16443257,26.70894093,29.33776806,31.91435762,34.46714738,36.99692906,39.49110607,41.854366,44.05582302,46.16082108,48.13325281,50.01221535,51.84088969,53.55974841,55.18216654,56.71687698,58.17062029,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CMR,Population,million,,,,,,,,,,,,,19.598889,21.83700764,24.17637748,26.49433064,28.84894839,31.12316521,33.31919647,35.40227883,37.38658122,39.20066036,40.8495501,42.33675381,43.76303533,45.03352902,46.21664761,47.29255943,48.27521368,49.21900406,50.03096143,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,COD,Population,million,,,,,,,,,,,,,65.965795,76.47126928,88.11516659,100.4379438,113.3835213,126.1231651,138.7483272,151.1754342,163.2698997,174.6320972,185.0946625,194.8443695,203.8828927,212.2303311,219.8582356,226.7691926,232.9494719,238.4527851,243.260018,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,COG,Population,million,,,,,,,,,,,,,4.042899,4.581749034,5.141487169,5.704678323,6.287235513,6.862592691,7.43013893,7.989805138,8.537985215,9.069268716,9.579897952,10.05805041,10.52280032,10.9544623,11.36282513,11.73617797,12.07534355,12.38324203,12.66500584,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,COL,Population,million,,,,,,,,,,,,,46.294841,49.64238482,53.12304615,56.61385817,60.05140595,63.27728949,66.34614435,69.30448197,72.16447213,74.86541827,77.40822469,79.81481466,82.0972404,84.27279264,86.3614834,88.40310472,90.43836157,92.49084677,94.55338475,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,COM,Population,million,,,,,,,,,,,,,0.73475,0.83430294,0.942644844,1.059046001,1.185181148,1.31517646,1.445494431,1.575176647,1.703344478,1.827959241,1.950141624,2.07078951,2.189902577,2.303816412,2.413031955,2.517999976,2.619903217,2.720756679,2.815733292,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CPV,Population,million,,,,,,,,,,,,,0.495999,0.521538517,0.552245664,0.586887054,0.62121559,0.65310268,0.68323303,0.712476038,0.740878183,0.767397202,0.791458072,0.814433865,0.836750794,0.859041451,0.881827896,0.9058618,0.932069571,0.960950272,0.992487313,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CRI,Population,million,,,,,,,,,,,,,4.658887,5.009384299,5.362279364,5.694433504,6.010182363,6.300272856,6.573712299,6.836522734,7.093180488,7.339049303,7.576052908,7.795594629,7.999730054,8.193996408,8.385248686,8.579449591,8.780251219,8.987710637,9.199058642,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CUB,Population,million,,,,,,,,,,,,,11.257979,11.25003572,11.25653968,11.24766058,11.17599933,11.02640575,10.81226836,10.54835923,10.24247584,9.901898782,9.549348516,9.221326671,8.94267335,8.716050816,8.53175115,8.379391716,8.257826149,8.170345878,8.115886765,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,CYP,Population,million,,,,,,,,,,,,,1.103647,1.171520695,1.234500888,1.288046012,1.334740775,1.373774838,1.410033657,1.447376384,1.485905772,1.521930408,1.55314823,1.57632077,1.594177855,1.611442497,1.630707462,1.651745744,1.672732738,1.691735913,1.707448434,,,,,,,,,,
